-------------------------- jModeltest 2.1.10 v20160303 --------------------------
(c) 2011-onwards D. Darriba, G.L. Taboada, R. Doallo and D. Posada,
(1) Department of Biochemistry, Genetics and Immunology
    University of Vigo, 36310 Vigo, Spain.
(2) Department of Electronics and Systems
    University of A Coruna, 15071 A Coruna, Spain.
e-mail: ddarriba@udc.es, dposada@uvigo.es
--------------------------------------------------------------------------------
 
Thu Aug 03 07:52:13 PDT 2017
Linux 2.6.32-696.3.2.el6.x86_64, arch: amd64, bits: 64, numcores: 24
 
--------------------------------------------------------------------------------
Citation: Darriba D, Taboada GL, Doallo R and Posada D. 2012.
          "jModelTest 2: more models, new heuristics and parallel computing".
          Nature Methods 9(8), 772.
--------------------------------------------------------------------------------
 
jModelTest 2.1.10 v20160303
Copyright (C) 2011 D. Darriba, G.L. Taboada, R. Doallo and D. Posada
This program comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome to redistribute it under certain
conditions
 
Notice: This program may contain errors. Please inspect results carefully.
 
PhyML binary: /projects/ps-ngbt/opt/comet/jmodeltest2/2.1.10/exe/phyml/PhyML_3.0_linux64 v20130103
 
Arguments = -tr 24 --set-property log-dir=./ -d infile.phy -s 11 -f -i -g 4 -t ML -AIC -AICc -BIC -DT -S BEST -p -a -w

Reading data file "infile.phy"... OK.
  number of sequences: 73
  number of sites: 658
 
 
---------------------------------------------------------------
*                                                             *
*        COMPUTATION OF LIKELIHOOD SCORES WITH PHYML          *
*                                                             *
---------------------------------------------------------------
 
::Settings::
 
 Phyml version = 20130103
 Phyml binary = PhyML_3.0_linux64
 Phyml path = /projects/ps-ngbt/opt/comet/jmodeltest2/2.1.10/exe/phyml/
 Candidate models = 88
   number of substitution schemes = 11
   including models with equal/unequal base frequencies (+F)
   including models with/without a proportion of invariable sites (+I)
   including models with/without rate variation among sites (+G) (nCat = 4)
 Optimized free parameters (K) = substitution parameters + 143 branch lengths + topology 
 Base tree for likelihood calculations = ML tree
 Tree topology search operation = BEST
 
 
 
::Progress::
 
Model 		 Exec. Time 	 Total Time 	 -lnL
-------------------------------------------------------------------------
F81+G		00h:01:13:06	00h:01:13:07	    5399.7772	 (1/88)
K80+I+G		00h:01:17:01	00h:01:17:01	    5128.5645	 (2/88)
TIM1ef+I+G	00h:01:18:00	00h:01:18:00	    5109.9852	 (3/88)
TIM3ef+I+G	00h:01:18:07	00h:01:18:08	    5105.9018	 (4/88)
SYM+I+G		00h:01:20:02	00h:01:20:02	    5100.5600	 (5/88)
TIM2ef+I+G	00h:01:21:01	00h:01:21:01	    5117.0454	 (6/88)
TPM2+I+G	00h:01:22:01	00h:01:22:01	    5127.6485	 (7/88)
TVMef+I+G	00h:01:23:04	00h:01:23:05	    5108.2541	 (8/88)
JC+I+G		00h:01:29:08	00h:01:29:08	    5413.7261	 (9/88)
TPM1+I+G	00h:01:34:02	00h:01:34:02	    5120.1598	 (10/88)
TPM3+I+G	00h:01:36:07	00h:01:36:07	    5115.0676	 (11/88)
F81+I+G		00h:01:44:00	00h:01:44:00	    5389.9253	 (12/88)
HKY+G		00h:02:03:06	00h:02:03:07	    5011.2896	 (13/88)
TrNef+I+G	00h:02:06:01	00h:02:06:01	    5117.7716	 (14/88)
JC+G		00h:00:53:03	00h:02:27:05	    5423.7891	 (15/88)
TrN+I+G		00h:02:29:03	00h:02:29:03	    4988.4167	 (16/88)
K80+G		00h:01:09:00	00h:02:45:07	    5144.2054	 (17/88)
HKY+I+G		00h:02:46:08	00h:02:46:08	    4988.5868	 (18/88)
TPM3uf+I+G	00h:02:48:09	00h:02:48:09	    4984.4708	 (19/88)
TPM1uf+I+G	00h:02:50:03	00h:02:50:04	    4987.0183	 (20/88)
TrNef+G		00h:01:06:04	00h:02:50:04	    5135.4232	 (21/88)
TVM+I+G		00h:02:54:01	00h:02:54:01	    4977.8331	 (22/88)
TPM1+G		00h:00:54:07	00h:02:58:04	    5137.0826	 (23/88)
TPM2+G		00h:00:55:02	00h:03:01:03	    5143.8884	 (24/88)
TIM2+G		00h:01:40:07	00h:03:01:08	    5011.0331	 (25/88)
TrN+G		00h:01:49:09	00h:03:03:06	    5011.2859	 (26/88)
TIM3+I+G	00h:03:05:05	00h:03:05:05	    4984.4633	 (27/88)
TPM2uf+I+G	00h:03:07:02	00h:03:07:02	    4981.7651	 (28/88)
